,exrept,results
1742,Nomenclature cA area of the solar cell ( 2m ) nA area of the n-type of TE element ( 2m ) pA area of the p-type of TE element ( 2m ) C concentration ratio pC heat capacity at 1 atmosphere ( 1 1Â· Â·J kg Kï€­ ï€­ ) PVE power output of the PV cell per square meter ( 2W mï€­ïƒ— ) h convection heat transfer coefficient ( 2 1W m K ï€­ï€­ïƒ— ïƒ— ) k thermal conductivity ( 1 1m KW ï€­ï€­ïƒ— ïƒ— ) nl length of the n-type of TE element (m ) pl length of the p-type of TE element (m ) P power output of the PV/TE system (W ) TEP electricity generated by TEG (W ) T temperature (K ) ambT temperature of the ambient (K ) windu wind velocity ( 1m sï€­ïƒ— ) Greek symbols cï�¡ absorptivity of PV cell ï�ª solar cell temperature coefficient ( 1K ï€­ ) ï�² density ( 3Â·kg mï€­ ) ï�¨ efficiency of the PV/TE system cï�¨ efficiency of the solar cell at standard condition ï�¥ emissivity y 2015),
1846, Özgür et al. used the same technique to measure the thermal conductivity of bulk ZnO after different thermal treatments and reported values ranging from 46–147 Wm-1K-1 at room temperature.),
1859,Nolas et al. measured a lattice thermal conductivity of 4 W m−1 K−1 in La0.23Co4Sb12 and 7 W m−1 K−1 at 400 K in La0.05Co4Sb12 prepared by a solid state reaction in sealed quartz ampoules at 1073 K and densified by hot pressing at 179 MPa and 873 K. Liu et al. reported values between 3.0 and 8 W m−1 K−1 for a series of LaxCo4Sb12 (x = 0.0–1.0) at 373 K prepared by mechanical alloying and SPS.),"[{'Pressure': {'raw_value': '179', 'raw_units': 'MPa', 'value': [179.0], 'units': '(10^6.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['La0.23Co4Sb12']}}}}]"
1879,"The minimum value of thermal conductivity is 1.8 W m−1
K−1 at room temperature for Co4Sb11.3Te0.6Se0.1 synthesized at 3.5 GPa.)","[{'Pressure': {'raw_value': '3.5', 'raw_units': 'GPa', 'value': [3.5], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Co4Sb11.3Te0.6Se0.1']}}}}]"
1933,The minimum value of the thermal conductivity is 1.76 W m−1 K−1 at 773 K for Co4Sb11.5Te0.5 + 0.25 vol% CNTs synthesized at 3.5 GPa.),"[{'Pressure': {'raw_value': '3.5', 'raw_units': 'GPa', 'value': [3.5], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Co4Sb11.5Te0.5 + 0.25 vol % CNTs']}}}}]"
1998, and the minimum value of thermal conductivity of Ba0.05In0.15Co4Sb11.5Te0.5 synthesized under 3 GPa is 1.73 W m−1K−1 at room temperature),"[{'Pressure': {'raw_value': '3', 'raw_units': 'GPa', 'value': [3.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'under', 'compound': {'Compound': {'names': ['Ba0.05In0.15Co4Sb11.5Te0.5']}}}}]"
1999,The minimum value of thermal conductivity for Ba0.05In0.15Co4Sb11.5Te0.5 under 3 GPa is 1.73 W m−1K−1 at room temperature.),"[{'Pressure': {'raw_value': '3', 'raw_units': 'GPa', 'value': [3.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'under', 'compound': {'Compound': {'names': ['Ba0.05In0.15Co4Sb11.5Te0.5']}}}}]"
2000," and sample Co4Sb11.5Te0.5 synthesized at 2.8 GPa shows the lowest thermal conductivity of 2.38 Wm−1
K−1 at 565 K)","[{'Pressure': {'raw_value': '2.8', 'raw_units': 'GPa', 'value': [2.8], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Co4Sb11.5Te0.5']}}}}]"
2001,"The lowest κph value for sample Co4Sb11.5Te0.5 synthesized at 1.8 GPa reaches 1.34 Wm−1
K−1 at 710 K.)","[{'Pressure': {'raw_value': '1.8', 'raw_units': 'GPa', 'value': [1.8], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Co4Sb11.5Te0.5']}}}}]"
2029,"Porous SiC-SiO2 composites fabricated from nano β-SiC, polysiloxane (0–20 wt%) as starting materials and a carbon template (40 wt%) for pore formation exhibited low thermal conductivities (0.047–0.229 Wm−1 K−1) and good compressive strengths (1–17.2 MPa) when sintered at 600–1000 °C for 1 h in air.)","[{'Pressure': {'raw_value': '1–17.2', 'raw_units': 'MPa)', 'value': [1.0, 17.2], 'units': '(10^6.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Porous SiC-SiO2 composites']}}}}]"
2513,"The minimum value of thermal conductivity for Co4Sb11.2Te0.5Sn0.3 synthesized at 3 GPa is 2.4 W m−1
K−1 at room temperature)","[{'Pressure': {'raw_value': '3', 'raw_units': 'GPa', 'value': [3.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Co4Sb11.2Te0.5Sn0.3']}}}}]"
2824,The lattice thermal conductivities of Sr3SbN and Sr3BiN at 15 GPa and 600 K are 0.11 Wm-1K-1 and 0.06 Wm-1K-1),"[{'Pressure': {'raw_value': '15', 'raw_units': 'GPa', 'value': [15.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Sr3SbN']}}}}]"
2825,The Seebeck coefficient at 15 GPa and 600 K in TB-mBJ+SOC calculation for Sr3SbN and Sr3BiN are 257 and 142 μV/K and the corresponding lattice thermal conductivities are 0.11 Wm-1K-1 and 0.06 Wm-1K-1),"[{'Pressure': {'raw_value': '15', 'raw_units': 'GPa', 'value': [15.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Sr3SbN']}}}}]"
2905,"Recently, the layered oxychalcogenides BiCuSeO, which exhibits natural superlattice structure with conductive (Cu2Se2)2- layers alternately stacked with insulating (Bi2O2)2+ layers along the c axis of the tetragonal cell , has received extensive attention due to its low Young's modulus (∼76.5 GPa) and high Grüneisen parameter (∼1.5), extremely low thermal conductivity (∼0.4 Wm−1K−1 at 923 K) and high ZT value.)","[{'Pressure': {'raw_value': '∼ 76.5', 'raw_units': 'GPa)', 'value': [76.5], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['BiCuSeO']}}}}]"
2987, undoped-ZnO specimens sintered under 1173 K and 2.5 GPa conditions induced minimum κ ~12 Wm−1K−1 at room temperature.),"[{'Pressure': {'raw_value': '2.5', 'raw_units': 'GPa', 'value': [2.5], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'under', 'compound': {'Compound': {'names': ['ZnO']}}}}]"
3012,"These compounds include silicone Q or wax additives, 80% SiO2 filler, ionic contamination <5 ppm Cl−, shelf life 24 months at 5°C, mold temperature from 170 to 185°C, soak time in molding from 60 to 180 seconds, hardening time from 4 to 5 hours at 175°C, glass transition temperature Tg of 154°C, coefficient of thermal expansion from (11-55)x10−6/K, bending modulus of 14.5 GPa, water adsorption of 0.5% for 24 h at 100°C, thermal conductivity of 0.65 Wm-1K-1, permittivity εr of 4.0, and dissipation factor tanδ of 0.008.)","[{'Pressure': {'raw_value': '14.5', 'raw_units': 'GPa', 'value': [14.5], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['silicone Q']}}}}]"
3417,They found that the thermal conductivity of polycrystalline SnSe will decrease when the powders are processed in an inert atmosphere glove box and will closely approach the 0.25 W m−1 K−1 value at 773 K),
3419, a similar low thermal conductivity of 0.30 W m−1 K−1 at 773 K was also observed in polycrystalline SnSe strictly handled in an inert atmosphere glove box.),
3678,"{  at room - temperature }: At 0 GPa, the calculated room-temperature lattice thermal conductivity of GeSe along the a, b, and c directions are 0.85 Wm-1K-1, 4.85 Wm-1K-1, and 2.26 Wm-1K-1, respectively, and κL reduces to 0.38, 2.15, and 1.01 Wm-1K-1 along the corresponding directions as the temperature rises to 700 K.)","[{'Pressure': {'raw_value': '0', 'raw_units': 'GPa', 'value': [0.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['GeSe']}}}}]"
3681,A minimum thermal conductivity of 2.41 W m−1 K−1 was obtained at room temperature for Co4Sb11Te0.7Sn0.3 synthesized at 3 GPa.),"[{'Pressure': {'raw_value': '3', 'raw_units': 'GPa', 'value': [3.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Co4Sb11Te0.7Sn0.3']}}}}]"
3682,The minimum value of thermal conductivity for Co4Sb11Te0.7Sn0.3 synthesized at 3 GPa is 2.41 W m−1 K−1 at room temperature.),"[{'Pressure': {'raw_value': '3', 'raw_units': 'GPa', 'value': [3.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Co4Sb11Te0.7Sn0.3']}}}}]"
3683,"A minimum thermal conductivity of 2.41 W m−1 K−1 was obtained at room temperature at 3 GPa, and the figure of merit, Z, value takes a maximum 3.05 × 10−4 K−1 of Co4Sb11.2Te0.5Sn0.3.)","[{'Pressure': {'raw_value': '3', 'raw_units': 'GPa', 'value': [3.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Co4Sb11.2Te0.5Sn0.3']}}}}]"
256,"Appel and the working group have studied the effects of microstructural evolution on the thermoelectric properties of spark-plasma-sintered Ti0.3Zr0.35Hf0.35NiSn half-Heusler alloy, showing maximum ZT value 0.82 at 730 K and the evolution of the thermoelectric properties has been attributed to the dissolution of metallic Hf-rich domains at high melting temperatures, which was influenced by the reduction of carrier concentration during thermal treatment .)",
290,Ma et al. utilized mechanical alloying (MA) technique in an inert atmosphere followed by a hot pressing process to fabricate Bi2Te3-based nano-bulk alloys with enhanced ZT value of about 1.4 at approximately 380 K. Cao et al. employed the hydrothermal method to create nano-scale (Bi),
293,"In our previous research, we prepared Bi0.5Sb1.5Te2.7Se0.3 bulk samples through high pressure sintering technique together with heat treatment, and found ZT value to increase up to 1.16 at 323 K .)",
312,A maximum zT of 0.92 at 783 K is achieved for Cu2Se synthesized at 1 GPa.),"[{'Pressure': {'raw_value': '1', 'raw_units': 'GPa', 'value': [1.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Cu2Se']}}}}]"
314,A maximum zT of 0.92 at 783 K was achieved for Cu2Se at 1 GPa.),"[{'Pressure': {'raw_value': '1', 'raw_units': 'GPa', 'value': [1.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Cu2Se']}}}}]"
315, the maximum zT value of 0.92 at 783 K was achieved for the Cu2Se sample synthesized at 1 GPa),"[{'Pressure': {'raw_value': '1', 'raw_units': 'GPa)', 'value': [1.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Cu2Se']}}}}]"
316,A maximum zT of 0.92 at 783 K was achieved for the Cu2Se at 1 GPa.),"[{'Pressure': {'raw_value': '1', 'raw_units': 'GPa', 'value': [1.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Cu2Se']}}}}]"
459,A ZT of 0.52 was obtained at 600 K for Ni0.15Co3.85Sb12 sample at 1 GPa.),"[{'Pressure': {'raw_value': '1', 'raw_units': 'GPa', 'value': [1.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Ni0.15Co3.85Sb12']}}}}]"
460,A high ZT of 0.52 was attained at 600 K for Ni0.15Co3.85Sb12 at 1 GPa.),"[{'Pressure': {'raw_value': '1', 'raw_units': 'GPa', 'value': [1.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Ni0.15Co3.85Sb12']}}}}]"
462, a better thermoelectric performance with an optimized ZT of 0.52 at 600 K is achieved for Ni0.15Co3.85Sb12 synthesized at 1 GPa.),"[{'Pressure': {'raw_value': '1', 'raw_units': 'GPa', 'value': [1.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Ni0.15Co3.85Sb12']}}}}]"
588,A maximum zT value of 1.19 at 723 K was obtained for Cu2Se synthesized at 3 GPa and at temperature of 1000 °C.),"[{'Pressure': {'raw_value': '3', 'raw_units': 'GPa', 'value': [3.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Cu2Se']}}}}]"
832,"The highest ZT value obtained in this study was from the SnSe sample sintered at 60 MPa, which was about 0.7 at 823 K.)","[{'Pressure': {'raw_value': '60', 'raw_units': 'MPa', 'value': [60.0], 'units': '(10^6.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['SnSe']}}}}]"
924,{ Figures of merit at 480 °C }: Journal of Alloys and Compounds 399 (2005) 286–290 Subject Index of Volume 399 Ag–Sn–In system experimental study of the Ag–Sn–In phase diagram 118 Alloys experimental study of the Ag–Sn–In phase diagram 118 Al–Ni–Fe alloys phase composition and transformation behavior of readily solidified Al–Ni–Fe alloys in H9251-Al–decagonal phase region 132 Aluminium alloys structure and transformation behaviour of a rapidly solidified Al–Y–Ni–Co–Pd alloy 78 Aluminium effects of melt superheating treatment on microstructure of Mg 2 Si/Al–Si–Cu composite 106 Amorphisation a study on hydrogen-induced amorphization in C15 Laves phase DyNi 2 under different hydrogen pressures 69 Amorphization hydrogen pressure dependence of structural changes in C15 Laves phase DyMn 2 studied by pressure differential scanning calorimetry 86 Amorphous materials crystallization kinetics of melt-spun Co 43 Fe 20 Ta 5.5 B 31.5 amorphous alloy 166 Atomic force microscopy growth and solid/solid transformation in a Ni–Si eutectic alloy 202 Ba x Sr 1H11002x TiO 3 dielectric properties and ferroelectric phase transitions in Ba x Sr 1H11002x TiO 3 solid solution 1 Ball-milling particle size and catalytic effect on the dehydriding of MgH 2 237 Bi 2 Te 3 thermoelectric properties of fine-grained Bi 2 Te 3 alloys 14 BN structural evolution of Al/BN mixture during mechanical alloying 139 B-site substitution structure),
934,{ Figures of merit at 480 °C }:  magnetic and magnetoresistive properties of La 0.7 Sr 0.3 Mn 1H11002x Sn x O 3 samples (0 H11349 x H11349 0.20) 20 electroresistive effect in slightly oxygen deficient Nd 0.7 Sr 0.3 MnO 3H11002H9254 ceramic 27 Manganites electroresistive effect in slightly oxygen deficient Nd 0.7 Sr 0.3 MnO 3H11002H9254 ceramic 27 Mechanical alloying structural evolution of Al/BN mixture during mechanical alloying 139 thermoelectric properties of La filled skutterudite prepared by mechanical alloying and hot pressing 276 preparation of SrAl 2 O 4 from an oxide mixture via a high-energy ball milling 280 Mechanical ball-milling hydriding/dehydriding behaviors of La 1.8 Ca 0.2 Mg 14 Ni 3 alloy modified by mechanical ball-milling under argon 178 Mechanical properties phase composition and transformation behavior of readily solidified Al–Ni–Fe alloys in H9251-Al–decagonal phase region 132 Melt spinning structure and transformation behaviour of a rapidly solidified Al–Y–Ni–Co–Pd alloy 78 Melt superheating treatment effects of melt superheating treatment on microstructure of Mg 2 Si/Al–Si–Cu composite 106 Metal hydride hydriding/dehydriding behaviors of La 1.8 Ca 0.2 Mg 14 Ni 3 alloy modified by mechanical ball-milling under argon 178 Metal matrix composites effects of melt superheating treatment on microstructure of Mg 2 Si/Al–Si–Cu composite 106 Metallic glasses structure and transformation behaviour of a rapidly solidified Al–Y–Ni–Co–Pd alloy 78 Mg alloys thermodynamic assessment of the Mg–Pr system 183 Mg–Pr phase diagram thermodynamic assessment of the Mg–Pr system 183 Microalloying of Hf the effect of the microalloying of Hf on the corrosion behavior of ZrCuNiAl bulk metallic glass 144 Microstructure effects of melt superheating treatment on microstructure of Mg 2 Si/Al–Si–Cu composite 106 growth and solid/solid transformation in a Ni–Si eutectic alloy 202 the microstructures and electrochemical properties of non-stoichiomet- ric low-Co AB 5 alloys containing small amounts of Mg 270 Mixed oxides structure),
1344,Poudel et al. achieved ZT value of 1.4 at 373K by hot-pressing of nanopowders of Bi2Te3 and Sb2Te3 under Argon (Ar) atmosphere.),
1723,"Recently, the layered oxychalcogenides BiCuSeO, which exhibits natural superlattice structure with conductive (Cu2Se2)2- layers alternately stacked with insulating (Bi2O2)2+ layers along the c axis of the tetragonal cell , has received extensive attention due to its low Young's modulus (∼76.5 GPa) and high Grüneisen parameter (∼1.5), extremely low thermal conductivity (xx Wm−1K−1 at 923 K) and high ZT value.)","[{'Pressure': {'raw_value': '∼ 76.5', 'raw_units': 'GPa)', 'value': [76.5], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['BiCuSeO']}}}}]"
1763, the maximum ZT for Mg2Si0.99Sb0.01 is 0.55 at 873 K under the pressure of 2.5 GPa),"[{'Pressure': {'raw_value': '2.5', 'raw_units': 'GPa)', 'value': [2.5], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Mg2Si0.99Sb0.01']}}}}]"
1768,{ Figure of merit at 500 °C }: Journal of Alloys and Compounds 397 (2005) 324–329 Subject Index of Volume 397 AB 5 -type hydrogen storage alloy LmNi 4.78 Mn 0.22 alloy modified with Si used as anodic materials in borohydride fuel cells 313 Activated carbon influence of milling conditions on hydrogen storage capacities of activated carbon mechanically milled in an H 2 atmosphere 216 Alanates pressure–composition isotherms and thermodynamic properties of TiF 3 -enhanced Na 2 LiAlH 6 135 crystal structure and stability of LiAlD 4 with TiF 3 additive 291 AlGaN/GaN heterostructure microstrain in Al 0.22 Ga 0.78 N/GaN heterostructure studied by X-ray diffraction and scattering 231 Americium oxygen potentials of (U 0.685 Pu 0.270 Am 0.045 )O 2H11002x solid solution 110 Amorphous alloys magnetic exchange coupling in amorphous Fe 80H11002x Dy x B 20 alloys 42 Amorphous materials crystallization kinetics of amorphous Fe 67 Co 9.5 Nd 3 Dy 0.5 B 20 104 amorphous phase formation),
1769,{ Figure of merit at 500 °C }:  Pd) ternary alloys 149 Raman spectroscopic study of molten PbBr 2 –NaBr and PbBr 2 –KBr mixtures 226 Amorphous ribbons effect of Tm substitution on the magnetic properties and local magnetic anisotropy of amorphous Fe 80H11002x Tm x B 20 ribbons 47 Anisotropy structure and magnetic properties of Er 3 Fe 29H11002x Cr x compounds 31 Annealing treatment effects of annealing temperature on structure and the electrochemical properties of La 0.7 Mg 0.3 Ni 2.45 Co 0.75 Mn 0.1 Al 0.2 hydrogen storage alloy 306 Atomic parameters a mathematical calculation of the hydriding characteristics of Mg 2H11002x A x Ni 1H11002y B y alloy systems 68 Ball-milling pressure–composition isotherms and thermodynamic properties of TiF 3 -enhanced Na 2 LiAlH 6 135 Bi 2 Te 3 synthesis and thermoelectric properties of Bi 2 Te 3 based nanocomposites 317 Bismuth antimony telluride effect of sintering temperature on the thermoelectric properties of pulse discharge sintered (Bi 0.24 Sb 0.76 ) 2 Te 3 alloy 236 Borocarbide electronic structures of YNi 2 H11002 x Co x B 2 C superconductors studied by photoemission and photoabsorption spectroscopy 23 Borohydride LmNi 4.78 Mn 0.22 alloy modified with Si used as anodic materials in borohydride fuel cells 313 Bulk amorphous alloys formation and mechanical properties of Mg 65 Cu 25 Er 10 and Mg 65 Cu 15 Ag 10 Er 10 bulk amorphous alloys 202 Calorimetry calorimetric measurement of the intermetallic compounds Cr 3 Ga and CrGa 4 and thermodynamic assessment of the (Cr–Ga) system 155 effects of the heating rate on the microstructure and the thermal stabil- ity of Fe–Co–Nb–B–(Cu) nanocrystalline alloys 173 Charge order effect of Ti doping on magnetic properties and magnetoresistance in LaSr 2 Mn 2 O 7 220 Chromium high temperature thermoelectric power studies of Cu–Cr ferrites 5 Computer simulation on the structural),
1776,{ Figure of merit at 500 °C }: Hf)NiSn half-Heusler compounds 296 High field magnetization magnetic exchange coupling in amorphous Fe 80H11002x Dy x B 20 alloys 42 High-temperature powder diffraction temperature behaviour of thermal expansion anisotropy and Grüneisen parameters of chalcopyrite silver thiogallate 192 Hydrogen generation activation of aluminum metal and its reaction with water 58 Hydrogen storage alloy effects of annealing temperature on structure and the electrochemical properties of La 0.7 Mg 0.3 Ni 2.45 Co 0.75 Mn 0.1 Al 0.2 hydrogen storage alloy 306 Hydrogen storage alloys the effect of substitution of Zr for La on the electrochemical properties of La 0.7H11002x Zr x Mg 0.3 Ni 2.45 Mn 0.1 Co 0.75 Al 0.2 hydrogen storage elec- trode alloys 269 Hydrogen storage capacity a mathematical calculation of the hydriding characteristics of Mg 2H11002x A x Ni 1H11002y B y alloy systems 68 Subject Index of Volume 397 325 influence of milling conditions on hydrogen storage capacities of acti- vated carbon mechanically milled in an H 2 atmosphere 216 Hydrogen storage materials electrical and optical properties of epitaxial YH x switchable mirrors 9 a mathematical calculation of the hydriding characteristics of Mg 2H11002x A x Ni 1H11002y B y alloy systems 68 pressure–composition isotherms and thermodynamic properties of TiF 3 -enhanced Na 2 LiAlH 6 135 on the structural),
1780,{ Figure of merit }:  red upconversion fluorescence of Er 3H11001 :LaOBr 1 Initial hydrogen pressure influence of milling conditions on hydrogen storage capacities of activated carbon mechanically milled in an H 2 atmosphere 216 Intermetallics phase relationships of the La–Ni–Mg system at 500 °C from 0),
1785,{ Figure of merit }:  Cr and V-doped ZrTiO 4 255 Pore structure SANS study of fractal microstructure and pore morphology in porous titania 300 Pot volume influence of milling conditions on hydrogen storage capacities of acti- vated carbon mechanically milled in an H 2 atmosphere 216 Powder metallurgy oxygen potentials of (U 0.685 Pu 0.270 Am 0.045 )O 2H11002x solid solution 110 temperature behaviour of thermal expansion anisotropy and Grüneisen parameters of chalcopyrite silver thiogallate 192 Powder neutron diffraction crystal structure and stability of LiAlD 4 with TiF 3 additive 291 Powder X-ray diffraction crystal structure and stability of LiAlD 4 with TiF 3 additive 291 Pressure–composition isotherms pressure–composition isotherms and thermodynamic properties of TiF 3 -enhanced Na 2 LiAlH 6 135 Pulse discharge sintering (PDS) effect of sintering temperature on the thermoelectric properties of pulse discharge sintered (Bi 0.24 Sb 0.76 ) 2 Te 3 alloy 236 Quaternary compounds phase relations in the quasi-binary Cu 2 GeS 3 –ZnS and quasi-ternary Cu 2 S–Zn(Cd)S–GeS 2 systems and crystal structure of Cu 2 ZnGeS 4 85 the quasi-ternary system Ag 2 S–CdS–GeS 2 and the crystal structure of Ag 2 CdGeS 4 95 Raman sol–gel synthesis and characterization of nanocrystalline ZnO powders L1 Rare earth compounds structure and magnetic properties of Er 3 Fe 29H11002x Cr x compounds 31 crystal structure of LaNi 5 Sn 165 Rare earth metal new intermetallic compounds in the RE–Zn–Al systems and their crys- tal structure 115 phase relationships of the La–Ni–Mg system at 500 °C from 0),
